TC,LOC,SC,E
org.jsoup.safety.CleanerTest#copiesOutputSettings,9,5,117.880234
org.jsoup.integration.FuzzFixesTest#bookmark,7,0,113.633575
org.jsoup.integration.UrlConnectTest#shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags,5,0,117.207138
org.jsoup.internal.StringUtilTest#resolvesRelativeUrls,34,34,114.478333
org.jsoup.parser.HtmlParserTest#canPreserveAttributeCase,9,0,123.438232
org.jsoup.select.ElementsTest#val,11,13,114.702423
org.jsoup.integration.UrlConnectTest#followsTempRedirect,5,0,116.165985
org.jsoup.nodes.AttributesTest#testListSkipsInternal,11,9,113.552658
org.jsoup.select.SelectorTest#multiChildDescent,7,3,112.245483
org.jsoup.select.ElementsTest#setHtml,8,7,111.74173
org.jsoup.select.SelectorTest#containsWholeText,16,15,113.238144
org.jsoup.parser.AttributeParseTest#parsesRoughAttributeString,13,0,112.100342
org.jsoup.nodes.ElementTest#testFilterAsLambda,5,6,111.975464
org.jsoup.nodes.ElementTest#spanRunsMaintainSpace,11,8,112.536972
org.jsoup.parser.AttributeParseTest#handlesNewLinesAndReturns,7,0,115.876602
org.jsoup.safety.CleanerTest#addsTagOnAttributesIfNotSet,6,1,111.119705
org.jsoup.nodes.DocumentTest#accessorsAreCaseInsensitive,14,12,110.281738
org.jsoup.nodes.ElementTest#testRemoveAfterIndex,11,6,119.158432
org.jsoup.parser.HtmlParserTest#handlesUnexpectedMarkupInTables,5,0,111.851669
org.jsoup.integration.ConnectTest#repeatable,8,0,116.620255
org.jsoup.select.ElementsTest#absAttr,9,6,108.156708
org.jsoup.nodes.ElementTest#testClassDomMethods,16,16,121.477539
org.jsoup.parser.HtmlParserTest#cdataNodesAreTextNodes,9,0,118.639603
org.jsoup.nodes.FormElementTest#actionWithNoBaseUri,14,4,118.07634
org.jsoup.parser.XmlTreeBuilderTest#appendPreservesCaseByDefault,7,1,115.477386
org.jsoup.parser.TokeniserTest#cp1252EntitiesProduceError,6,3,118.388275
org.jsoup.parser.AttributeParseTest#canStartWithEq,8,0,111.186157
org.jsoup.integration.ConnectTest#doesPostMultipartWithoutInputstream,7,0,123.530106
org.jsoup.select.ElementsTest#unwrap,6,5,112.489777
org.jsoup.parser.XmlTreeBuilderTest#dropsDuplicateAttributes,6,1,112.374695
org.jsoup.nodes.NodeTest#handlesAbsOnProtocolessAbsoluteUris,10,6,114.042709
org.jsoup.select.SelectorTest#html_mixed_case_simple_name,4,2,115.287003
org.jsoup.select.ElementsTest#traverse,14,4,110.128723
org.jsoup.helper.DataUtilTest#wrongMetaCharsetFallback,6,2,117.111816
org.jsoup.integration.UrlConnectTest#exceptOnUnknownContentType,16,0,114.858597
org.jsoup.safety.CleanerTest#testDropImageScript,5,1,118.366714
org.jsoup.nodes.ElementTest#testFilterCallReturnsElement,15,5,112.951981
org.jsoup.parser.XmlTreeBuilderTest#readerClosedAfterParse,6,2,116.096924
org.jsoup.nodes.ElementTest#testWrapOnOrphan,10,12,112.813293
org.jsoup.integration.UrlConnectTest#shouldParseBrokenHtml5MetaCharsetTagCorrectly,5,0,114.374374
org.jsoup.integration.ConnectTest#fetchToW3c,9,0,124.046494
org.jsoup.nodes.ElementTest#testEvalMethods,12,12,120.674454
org.jsoup.integration.ConnectTest#bodyAfterParseThrowsValidationError,8,0,115.627319
org.jsoup.integration.ConnectTest#parseParseThrowsValidates,9,0,119.500992
org.jsoup.nodes.PositionTest#parserTrackDefaults,10,0,106.188461
org.jsoup.parser.XmlTreeBuilderTest#handlesXmlDeclarationAsDeclaration,7,3,115.794464
org.jsoup.safety.CleanerTest#testDropComments,5,1,110.218994
org.jsoup.integration.ParseTest#testHtml5Charset,14,0,116.340088
org.jsoup.safety.CleanerTest#testScriptTagInSafeList,5,1,114.557755
org.jsoup.safety.CleanerTest#testHandlesEmptyAttributes,5,1,109.619873
org.jsoup.nodes.DocumentTest#testTitles,14,8,115.732483
org.jsoup.parser.AttributeParseTest#dropsSlashFromAttributeName,8,0,111.092529
org.jsoup.parser.HtmlParserTest#preservesSpaceInScript,8,0,117.030304
org.jsoup.parser.HtmlTreeBuilderStateTest#ensureArraysAreSorted,5,2,106.310532
org.jsoup.parser.HtmlParserTest#testSupportsNonAsciiTags,8,0,120.419327
org.jsoup.helper.DataUtilTest#supportsZippedUTF8BOM,6,4,117.041595
org.jsoup.parser.HtmlParserTest#wholeTextTreatsBRasNewline,8,0,123.468323
org.jsoup.parser.XmlTreeBuilderTest#xmlFragment,8,5,110.68602
org.jsoup.nodes.ElementTest#getNamespacedElementsByTag,7,8,117.545654
