TC,LOC,SC,E,P,T,ESLoc,PSLoc,TSLoc,AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
org.apache.commons.dbutils.handlers.properties.DatePropertyHandlerTest#testMatchNegative,4,3,174.960556,11.937536,14.664124,233.28074133333334,15.916714666666666,19.55216533333333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.dbutils.handlers.properties.StringEnumPropertyHandlerTest#testMatch,3,2,182.17926,11.925603,15.235778,273.26889,17.888404500000004,22.853667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.dbutils.DbUtilsTest#commitAndCloseWithException,11,3,202.600403,11.973889,16.929478,742.8681443333334,43.90425966666667,62.07475266666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
org.apache.commons.dbutils.QueryRunnerTest#testStatementConfiguration,10,3,224.710022,11.996526,18.690929,749.0334066666667,39.98842,62.30309666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.QueryRunnerTest#testGoodExecutePmdTrue,4,2,222.503281,12.018104,18.462429,445.006562,24.036208,36.924858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.AsyncQueryRunnerTest#testGoodBatch,4,1,222.085526,11.97845,18.564341,888.342104,47.9138,74.257364,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.DbUtilsTest#closeNullConnection,3,3,175.709839,11.959584,14.642874,175.709839,11.959584,14.642874,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.handlers.BeanMapHandlerTest#testEmptyResultSet,6,1,209.684174,11.951163,17.554247,1258.1050440000001,71.706978,105.32548200000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.OutParameterTest#testRegisterAlternateConstructor,6,1,204.694366,11.98657,17.076976,1228.1661960000001,71.91942,102.461856,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.DbUtilsTest#closeQuietlyNullConnection,3,3,172.087051,11.926414,14.450154,172.087051,11.926414,14.450154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.handlers.BeanMapHandlerTest#testBeanMapHandlerClassOfVInt,4,1,207.364273,12.007306,17.269395,829.457092,48.029224,69.07758,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.DbUtilsTest#closeQuietlyConnectionResultSetThrowingExceptionStatement,10,3,208.565796,11.997944,17.456635,695.21932,39.99314666666667,58.18878333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.DbUtilsTest#closeQuietlyStatement,5,3,197.773804,11.967107,16.531368,329.6230066666667,19.945178333333335,27.552280000000003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.BaseResultSetHandlerTest#handleWithoutExplicitResultSetInvocation,16,12,177.447327,11.959327,14.83377,236.596436,15.945769333333333,19.77836,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.StatementConfigurationTest#testBuilder,14,27,174.795837,11.981944,14.630477,90.63487844444444,6.212859851851852,7.58617325925926,10,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11
org.apache.commons.dbutils.DbUtilsTest#commitAndClose,6,3,207.151474,11.999634,17.26315,414.302948,23.999268,34.5263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.handlers.columns.DoubleColumnHandlerTest#testApplyType,4,1,210.639313,11.955634,17.620568,842.557252,47.822536,70.482272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.DbUtilsTest#rollbackAndCloseQuietlyNull,3,3,179.788284,11.942693,15.05425,179.788284,11.942693,15.05425,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.DbUtilsTest#testLoadDriverReturnsFalse,3,1,185.089966,11.915816,15.558335,555.269898,35.747448,46.675005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.DbUtilsTest#commitAndCloseQuietlyWithException,7,3,205.886688,12.003426,17.169575,480.402272,28.007994,40.06234166666666,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.DbUtilsTest#closeQuietlyConnectionResultSetStatementThrowingException,10,3,208.389511,12.024609,17.371964,694.6317033333333,40.08203,57.906546666666664,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.DbUtilsTest#closeResultSet,5,3,203.425934,11.982035,16.983056,339.04322333333334,19.970058333333334,28.305093333333335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.handlers.BeanMapHandlerTest#testBeanMapHandlerClassOfV,4,1,214.415253,11.933107,17.985277,857.661012,47.732428,71.941108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.handlers.BeanMapHandlerTest#testBeanMapHandlerClassOfVString,4,1,213.764999,11.946302,17.97342,855.059996,47.785208,71.89368,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.DbUtilsTest#closeQuietlyConnectionThrowingException,5,3,200.776932,11.965679,16.853153,334.62822,19.942798333333332,28.088588333333334,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.QueryRunnerTest#testExecuteWithMultipleResultSets,17,4,227.031357,11.963076,18.977674,964.88326725,50.843073,80.6551145,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.DbUtilsTest#closeQuietlyResultSet,5,3,208.637894,12.013816,17.485855,347.72982333333334,20.023026666666667,29.14309166666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.GenerousBeanProcessorTest#testMapColumnsToPropertiesMixedCase,13,13,208.657211,11.943296,17.483844,208.657211,11.943296,17.483844,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.GenerousBeanProcessorTest#testMapColumnsToPropertiesColumnLabelIsNull,14,14,203.204697,11.923282,17.052272,203.204697,11.923282,17.052272,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,2
