testcase,loc,median_elapsed_time,median_power,median_energy_consumed
com.google.gson.functional.VersioningTest#testIgnoreLaterVersionClassDeserialization,6,15.862809,11.862618,188.251297
com.google.gson.internal.StreamsTest#testWriterForAppendable,2,15.859386,11.88897,188.162216
com.google.gson.functional.ReflectionAccessFilterTest#testBlockAllCollectionImplementation,10,16.164924,11.906464,192.181229
com.google.gson.internal.JavaVersionTest#testJava10,3,16.078068,11.852897,190.651413
com.google.gson.internal.JavaVersionTest#testUnknownVersionFormat,3,16.032959,11.88079,190.484222
com.google.gson.functional.ParameterizedTypesTest#testTypesWithMultipleParametersSerialization,9,15.944139,11.843509,188.661224
com.google.gson.stream.JsonReaderPathTest#path,56,16.07595,11.893215,191.044205
com.google.gson.GsonBuilderTest#testSetVersionInvalid,17,15.947799,11.818085,189.76535
com.google.gson.internal.bind.util.ISO8601UtilsTest#testDateParseSpecialTimezone,8,16.083308,11.894107,191.820129
com.google.gson.JsonArrayAsListTest#testAddAll,22,15.866478,11.822864,186.852005
com.google.gson.VersionExclusionStrategyTest#testOlderVersion,9,15.961195,11.867205,188.382797
com.google.gson.JsonObjectAsMapTest#testPutAll,26,15.965224,11.853018,188.746078
com.google.gson.JsonObjectTest#testPropertyWithQuotes,6,15.898209,11.832837,188.327713
com.google.gson.functional.Java17RecordTest#testSerializedNameOnAccessor,11,14.941671,11.91943,176.949615
com.google.gson.functional.Java17RecordTest#testRecordNull,7,14.762766,11.802418,174.699402
com.google.gson.functional.Java17RecordTest#testDuplicateJsonProperties,7,14.953454,11.8277,178.032455
com.google.gson.JsonArrayAsListTest#testViewUpdates,10,15.977821,11.830392,188.717743
com.google.gson.functional.Java17RecordTest#testStaticFieldDeserialization,14,14.669418,11.88133,173.674774
com.google.gson.JsonObjectTest#testEqualsOnEmptyObject,3,15.859852,11.873085,188.305359
com.google.gson.functional.ReflectionAccessFilterTest#testBlockAllJava,10,16.113476,11.909075,191.190186
com.google.gson.functional.ReflectionAccessFilterTest#testBlockInaccessibleStaticField,15,16.149128,11.919766,192.420227
com.google.gson.JsonArrayAsListTest#testClear,8,15.871832,11.817978,187.609436
com.google.gson.TypeAdapterTest#testNullSafe,13,15.845479,11.832452,187.49086
com.google.gson.JsonObjectTest#testDeepCopy,9,15.938834,11.900669,188.974335
com.google.gson.functional.Java17RecordTest#testStaticFieldSerialization,6,14.836052,11.850222,175.711121
com.google.gson.functional.TypeAdapterRuntimeTypeWrapperTest#testJsonDeserializer_CustomSerializerDelegate,13,16.084399,11.893106,190.818954
com.google.gson.functional.VersioningTest#testVersionedGsonWithUnversionedClassesDeserialization,10,15.828724,11.847798,188.852646
com.google.gson.graph.GraphAdapterBuilderTest#testSerializationWithMultipleTypes,9,15.668025,11.841421,185.924881
com.google.gson.functional.VersioningTest#testVersionedGsonWithUnversionedClassesSerialization,5,16.179898,11.870034,191.286179
com.google.gson.functional.ReflectionAccessTest#testRestrictiveSecurityManager,46,15.98205,11.819229,189.567596
com.google.gson.functional.Java17RecordTest#testFieldExclusionStrategy,16,14.881274,11.889806,176.935455
com.google.gson.JsonArrayTest#testNullPrimitiveAddition,16,15.996922,11.89668,190.605682
com.google.gson.JsonArrayAsListTest#testGet,20,15.951332,11.893322,189.005951
