TC,LOC,SC,E,P,T,ESLoc,PSLoc,TSLoc,AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
com.google.gson.FieldNamingPolicyTest#testUpperCaseFirstLetter,6,2,187.359467,11.865471,15.79031,562.078401,35.596413,47.37093,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
com.google.gson.internal.bind.util.ISO8601UtilsTest#testDateParseInvalidMonth,9,2,187.865646,11.853465,15.831167,845.3954070000001,53.3405925,71.24025150000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
com.google.gson.JsonArrayTest#testCharPrimitiveAddition,11,6,187.620575,11.896883,15.791912,343.9710541666667,21.81095216666667,28.951838666666667,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
com.google.gson.JsonObjectTest#testAddingStringProperties,10,8,189.09581,11.879763,15.892806,236.36976249999998,14.84970375,19.8660075,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
com.google.gson.internal.JavaVersionTest#testGetMajorJavaVersion,3,3,190.111282,11.920437,15.948349,190.111282,11.920437,15.948349,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.google.gson.TypeAdapterTest#testNullSafe,13,5,187.49086,11.832452,15.845479,487.476236,30.7643752,41.1982454,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
com.google.gson.JsonObjectTest#testAddingAndRemovingObjectProperties,14,15,188.770233,11.815506,15.976484,176.1855508,11.027805599999999,14.911385066666666,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5
com.google.gson.GsonBuilderTest#testExcludeFieldsWithModifiers,4,10,188.519211,11.805231,15.868833,75.40768440000001,4.722092399999999,6.3475332,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
com.google.gson.TypeAdapterTest#testToJson_ThrowingIOException,26,10,189.508591,11.87107,15.975872,492.72233659999995,30.864781999999998,41.5372672,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1
com.google.gson.GsonBuilderTest#testTransientFieldExclusion,4,8,189.986481,11.828744,16.080376,94.9932405,5.914372,8.040188,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
com.google.gson.internal.bind.util.ISO8601UtilsTest#testDateFormatWithTimezone,7,2,192.113373,11.899885,16.144137,672.3968055,41.6495975,56.5044795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.google.gson.TypeAdapterTest#testFromJson_Reader_TrailingData,3,2,189.878265,11.864449,15.99664,284.8173975,17.7966735,23.99496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.google.gson.internal.JavaVersionTest#testUnknownVersionFormat,3,3,190.484222,11.88079,16.032959,190.484222,11.88079,16.032959,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.google.gson.JsonArrayTest#testGetAs_WrongArraySize,19,10,191.324615,11.928638,16.049331,363.5167685,22.6644122,30.4937289,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2
com.google.gson.GsonBuilderTest#testSetVersionInvalid,17,9,189.76535,11.818085,15.947799,358.4456611111111,22.323049444444443,30.12362033333333,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1
com.google.gson.internal.bind.util.ISO8601UtilsTest#testDateFormatWithMilliseconds,7,2,190.261826,11.853179,16.159427,665.9163910000001,41.486126500000005,56.55799450000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.google.gson.JsonArrayTest#testSet,22,17,190.430603,11.837547,16.086999,246.43960388235294,15.319178470588236,20.818469294117644,8,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5
com.google.gson.GsonBuilderTest#testModificationAfterCreate,28,18,190.342911,11.837602,16.079516,296.0889726666666,18.414047555555555,25.012580444444446,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16
com.google.gson.internal.JavaVersionTest#testJava8,9,15,190.107224,11.91973,16.004248,114.06433439999999,7.151838,9.6025488,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1
com.google.gson.JsonObjectTest#testEntrySet,41,27,191.141357,11.903579,16.079944,290.25169025925925,18.07580514814815,24.41769274074074,14,1,0,0,0,0,0,3,2,0,0,0,0,1,0,0,2,1,0,0,3
com.google.gson.JsonArrayTest#testStringPrimitiveAddition,9,6,188.999481,11.887775,15.867809,283.49922150000003,17.8316625,23.8017135,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
com.google.gson.JsonArrayTest#testRemove,18,14,188.996704,11.868716,15.977411,242.99576228571428,15.259777714285713,20.54238557142857,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5
com.google.gson.JsonArrayTest#testNullJsonElementAddition,5,6,198.192123,11.921711,16.539205,165.16010250000002,9.934759166666668,13.782670833333333,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
com.google.gson.JsonObjectTest#testEqualsOnEmptyObject,3,2,188.305359,11.873085,15.859852,282.45803850000004,17.8096275,23.789778000000002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.google.gson.internal.JavaVersionTest#testJava7,3,3,190.524231,11.890526,15.978767,190.524231,11.890526,15.978767,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.google.gson.JsonArrayTest#testDeepCopy,11,11,189.584229,11.817105,15.997543,189.584229,11.817105,15.997543,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4
com.google.gson.JsonObjectTest#testEqualsHashCodeIgnoringOrder,11,6,192.378296,11.910611,16.177053,352.6935426666667,21.836120166666667,29.657930500000003,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
