TC,LOC,SC,E
org.apache.commons.text.TextStringBuilderAppendInsertTest#testAppendSeparator_char_int,11,0,182.164963
org.apache.commons.text.AlphabetConverterTest#binaryTest,5,1,190.892578
org.apache.commons.text.lookup.LocalHostStringLookupTest#testCanonicalName,3,2,182.943237
org.apache.commons.text.StringSubstitutorTest#testReplaceFailOnUndefinedVariable,12,5,191.397598
org.apache.commons.text.TextStringBuilderAppendInsertTest#testAppendln_CharArray_int_int,8,0,235.925674
org.apache.commons.text.similarity.JaroWinklerDistanceTest#testGetJaroWinklerDistance_NullString,3,1,185.522659
org.apache.commons.text.TextStringBuilderAppendInsertTest#testAppendln_TextStringBuilder,7,0,239.579666
org.apache.commons.text.translate.CsvTranslatorsTest#csvEscaperLFTest,8,1,184.449402
org.apache.commons.text.translate.NumericEntityEscaperTest#testAbove,6,3,183.232025
org.apache.commons.text.TextStringBuilderAppendInsertTest#testAppendSeparator_String_int,19,0,187.990768
org.apache.commons.text.StrBuilderAppendInsertTest#testAppend_StrBuilder_int_int,48,0,185.525589
org.apache.commons.text.StrBuilderTest#testMinimizeCapacity,8,0,188.547699
org.apache.commons.text.similarity.LevenshteinDetailedDistanceTest#testHashCode,12,7,191.59726
org.apache.commons.text.StrSubstitutorTest#testReplaceSolo,3,1,182.952087
org.apache.commons.text.StringSubstitutorTest#testReplaceInTakingStringBuilderWithNull,5,4,187.220047
org.apache.commons.text.matcher.StringSubstitutorGetSetTest#testGetSetValueDelimiter,15,0,183.245956
org.apache.commons.text.StrBuilderTest#testIndexOfLang294,5,0,185.271637
org.apache.commons.text.ExtendedMessageFormatTest#testExtendedAndBuiltInFormats,37,0,336.533096
org.apache.commons.text.StrBuilderAppendInsertTest#testAppendPadding,14,0,189.800339
org.apache.commons.text.StrBuilderTest#testSubstringInt,9,0,183.811508
org.apache.commons.text.similarity.LongestCommonSubsequenceDistanceTest#testGettingLongestCommonSubsequenceDistance,15,14,186.628586
org.apache.commons.text.lookup.DateStringLookupTest#testBadFormat,3,1,183.7724
org.apache.commons.text.StrTokenizerTest#testConstructor_charArray_char_char,12,16,183.486923
org.apache.commons.text.StrBuilderTest#testSetLength,11,0,186.017517
org.apache.commons.text.lookup.LocalHostStringLookupTest#testNull,3,2,182.965179
org.apache.commons.text.lookup.ResourceBundleStringLookupTest#testExceptionGettingString,5,2,220.151535
org.apache.commons.text.StrBuilderTest#testAsWriter,24,0,191.200699
org.apache.commons.text.WordUtilsTest#testLANG1292,3,2,184.903107
org.apache.commons.text.similarity.LevenshteinDistanceTest#testGetLevenshteinDistance_StringString,12,11,188.981842
org.apache.commons.text.StringSubstitutorTest#testReplaceUnknownShortestKeyOnly,4,3,187.334656
org.apache.commons.text.StrBuilderTest#testLastIndexOf_char,8,0,190.28363
org.apache.commons.text.StringTokenizerTest#testBasic4,8,8,189.325348
org.apache.commons.text.lookup.SystemPropertyStringLookupTest#testUserName,4,0,183.355148
org.apache.commons.text.StringSubstitutorWithInterpolatorStringLookupTest#testCustomMapWithoutDefaults,3,0,185.864288
org.apache.commons.text.translate.EntityArraysTest#testForDuplicatedDeclaredMapKeys,20,6,184.81398
org.apache.commons.text.lookup.XmlStringLookupTest#testToString,3,2,181.39003
org.apache.commons.text.similarity.LevenshteinDistanceTest#testGetThresholdDirectlyAfterObjectInstantiation,3,3,191.97702
