TC,LOC,SC,E
org.apache.commons.mail.SimpleEmailTest#testDefaultMimeCharset,22,1,161.609497
org.apache.commons.mail.resolver.DataSourceCompositeResolverTest#testResolvingFilesLenient,5,7,174.308563
org.apache.commons.mail.EmailTest#testAddBcc2,12,8,161.523209
org.apache.commons.mail.EmailLiveTest#testFoldedHeaderValue,7,0,173.749466
org.apache.commons.mail.MultiPartEmailTest#testAttachFileLocking,5,4,199.541702
org.apache.commons.mail.EmailTest#testAddHeader,13,6,161.671982
org.apache.commons.mail.ImageHtmlEmailTest#testSendEmptyHTML,11,3,208.482864
org.apache.commons.mail.HtmlEmailTest#testEmbedUrlAndFile,8,5,210.686111
org.apache.commons.mail.EmailTest#testEndOflineCharactersInSubjectAreReplacedWithSpaces,11,10,164.632797
org.apache.commons.mail.util.IDNEmailAddressConverterTest#testInternetAddressToAsciiConversion,6,3,160.095886
org.apache.commons.mail.EmailTest#testFoldingHeaders,19,19,168.722687
org.apache.commons.mail.MultiPartEmailTest#testAddPart,8,5,197.60231
org.apache.commons.mail.EmailLiveTest#testSimpleEmail,6,0,169.933517
org.apache.commons.mail.resolver.DataSourceUrlResolverTest#testResolvingHttpLenient,7,11,173.593155
org.apache.commons.mail.util.MimeMessageParserTest#testParseHtmlEmailWithAttachmentAndEncodedFilename,26,37,167.468658
org.apache.commons.mail.util.MimeMessageParserTest#testParseCreatedHtmlEmailWithTextContent,26,31,181.416412
org.apache.commons.mail.util.MimeMessageParserTest#testParseCreatedHtmlEmailWithNoContent,25,31,166.263626
org.apache.commons.mail.HtmlEmailTest#testEmbedFileWithCID,11,4,204.610535
org.apache.commons.mail.EmailLiveTest#testCorrectCharacterEncoding,11,0,169.070084
org.apache.commons.mail.util.MimeMessageParserTest#testParseNoHeaderSeperatorWithOutOfMemory,16,27,168.769577
org.apache.commons.mail.EmailAttachmentTest#testGetSetDescription,6,3,162.25267
org.apache.commons.mail.EmailTest#testAddTo,11,8,161.090027
org.apache.commons.mail.InvalidInternetAddressTest#testStrictConstructor,16,0,159.896011
org.apache.commons.mail.util.IDNEmailAddressConverterTest#testIDNEmailAddressToAsciiConversion,4,3,160.077255
